,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
12,29.291088,0.035073,-8.998761,-6.89379,lad,5,None,6,6,500,"{'n_estimators': 500, 'min_samples_split': 6, ...",1,-8.859381,-7.027368,-8.773966,-6.837958,-9.325139,-6.869084,-9.036779,-6.840749,0.531466,0.006851,0.210901,0.078077
3,33.429651,0.049131,-9.041004,-4.465253,huber,5,None,8,6,500,"{'n_estimators': 500, 'min_samples_split': 6, ...",2,-8.868788,-4.482073,-8.904791,-4.326121,-9.315304,-4.823009,-9.075321,-4.229809,2.843198,0.00877,0.176509,0.225313
9,13.585984,0.018832,-9.192518,-6.987506,huber,3,auto,2,4,500,"{'n_estimators': 500, 'min_samples_split': 4, ...",3,-9.134318,-7.007604,-9.042461,-7.088986,-9.441179,-6.913108,-9.15224,-6.940327,0.292097,0.003301,0.149456,0.067939
0,3.28801,0.010575,-9.196413,-7.293554,ls,5,auto,6,2,100,"{'n_estimators': 100, 'min_samples_split': 2, ...",4,-9.10161,-7.302003,-9.026912,-7.312645,-9.456259,-7.173397,-9.201033,-7.386171,0.388932,0.006389,0.162211,0.076569
7,12.847157,0.022559,-9.350555,-7.073741,ls,3,auto,6,4,500,"{'n_estimators': 500, 'min_samples_split': 4, ...",5,-9.146159,-7.089709,-9.199358,-7.103749,-9.699696,-7.021418,-9.35722,-7.080088,0.288627,0.001503,0.215966,0.031358
10,123.758774,0.151262,-9.376652,-0.400401,huber,10,None,6,10,1100,"{'n_estimators': 1100, 'min_samples_split': 10...",6,-9.261256,-0.378166,-9.243867,-0.459465,-9.528538,-0.393491,-9.473096,-0.370483,2.854353,0.017081,0.125816,0.035092
19,31.697893,0.037851,-9.381693,-8.202307,lad,3,auto,2,6,1100,"{'n_estimators': 1100, 'min_samples_split': 6,...",7,-9.379335,-8.311796,-9.382576,-8.658903,-9.47398,-7.820534,-9.29088,-8.017995,0.541961,0.001092,0.06474,0.316303
2,77.192894,0.086708,-9.419115,-0.165987,huber,10,auto,2,4,500,"{'n_estimators': 500, 'min_samples_split': 4, ...",8,-9.385744,-0.164859,-9.288317,-0.193613,-9.572674,-0.164415,-9.429825,-0.141062,3.407669,0.014239,0.102366,0.018629
16,46.228543,0.064171,-9.446787,-4.801009,ls,3,None,6,4,1500,"{'n_estimators': 1500, 'min_samples_split': 4,...",9,-9.246573,-4.821677,-9.317156,-4.876202,-9.79895,-4.77665,-9.424668,-4.729506,0.656225,0.004372,0.212942,0.054284
21,8.285867,0.043365,-9.460295,-5.666205,huber,5,log2,4,6,500,"{'n_estimators': 500, 'min_samples_split': 6, ...",10,-9.39384,-5.684121,-9.289175,-5.742441,-9.750806,-5.571781,-9.407503,-5.666476,0.465475,0.006885,0.173829,0.061337
